seqName	segment	dataset	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
LOC_00004B8.1	h2n2	h1n1	91.3	172	15	0	2	517	226	397	1.2900000000000002e-110	317
LOC_00004C6.1	h2n2	h1n1	90.3	154	15	0	2	463	226	379	2.59e-96	280
LOC_00004D4.1	h2n2	h3n2	91.2	147	13	0	2	442	226	372	1.59e-93	272
LOC_0000KQ0.1	h2n2	h3n2	94.8	498	26	0	1	1494	1	498	0.0	944
LOC_0000KSW.1	h2n2	h3n2	94.8	498	26	0	1	1494	1	498	0.0	944
LOC_0000T23.1	h2n2	h3n2	94.6	498	27	0	23	1516	1	498	0.0	950
LOC_0000T7T.1	h2n2	h3n2	95.4	498	23	0	18	1511	1	498	0.0	951
LOC_0000TCH.1	h2n2	h1n1	93.2	498	34	0	18	1511	1	498	0.0	936
LOC_0000UNV.1	h2n2	h3n2	84.8	455	69	0	3	1367	15	469	2.76e-279	757
LOC_0000UUH.1	h2n2	h3n2	95.6	498	22	0	23	1516	1	498	0.0	952
LOC_0000UWD.1	h2n2	h3n2	95.4	498	23	0	23	1516	1	498	0.0	951
LOC_0000UXB.1	h2n2	h3n2	95.6	498	22	0	23	1516	1	498	0.0	949
LOC_0000V7R.1	h2n2	h3n2	95.2	498	24	0	46	1539	1	498	0.0	949
LOC_0000VQQ.1	h2n2	h1n1	93.4	498	33	0	33	1526	1	498	0.0	937
LOC_0000VRN.1	h2n2	h1n1	94.0	498	30	0	33	1526	1	498	0.0	940
LOC_0000VWC.1	h2n2	h1n1	93.4	498	33	0	33	1526	1	498	0.0	937
LOC_0000VXA.1	h2n2	h1n1	93.2	498	34	0	33	1526	1	498	0.0	936
LOC_0000W20.1	h2n2	h1n1	93.0	498	35	0	33	1526	1	498	0.0	936
LOC_0000W4W.1	h2n2	h1n1	93.2	498	34	0	33	1526	1	498	0.0	936
LOC_0000W8N.1	h2n2	h1n1	93.4	498	33	0	33	1526	1	498	0.0	940
LOC_0000W9L.1	h2n2	h1n1	93.4	498	33	0	24	1517	1	498	0.0	940
LOC_0000WAJ.1	h2n2	h1n1	94.0	498	30	0	27	1520	1	498	0.0	940
LOC_0000WBG.1	h2n2	h1n1	94.4	498	28	0	33	1526	1	498	0.0	946
LOC_0000WCE.1	h2n2	h1n1	94.4	498	28	0	17	1510	1	498	0.0	946
LOC_0000WDC.1	h2n2	h1n1	93.4	498	33	0	24	1517	1	498	0.0	937
LOC_0000WEA.1	h2n2	h1n1	93.2	498	34	0	26	1519	1	498	0.0	936
LOC_0000WWB.1	h2n2	h1n1	93.4	498	33	0	10	1503	1	498	0.0	941
LOC_0000XAH.1	h1n1	h1n1pdm	93.8	497	31	0	1	1491	1	497	0.0	935
LOC_0000XBF.1	h1n1	h1n1pdm	93.6	497	32	0	1	1491	1	497	0.0	933
LOC_0000XCD.1	h1n1	h1n1pdm	93.8	497	31	0	1	1491	1	497	0.0	935
LOC_0000XDB.1	h1n1	h1n1pdm	93.8	497	31	0	1	1491	1	497	0.0	935
LOC_0000XE9.1	h1n1	h1n1pdm	93.8	497	31	0	1	1491	1	497	0.0	935
LOC_0000XVC.1	h2n2	h1n1	94.0	498	30	0	15	1508	1	498	0.0	943
LOC_0000YH1.1	h2n2	h1n1	93.2	498	34	0	24	1517	1	498	0.0	936
LOC_0000YLV.1	h2n2	h1n1	93.2	498	34	0	10	1503	1	498	0.0	937
LOC_0000YVB.1	h2n2	h1n1	92.8	498	36	0	10	1503	1	498	0.0	939
LOC_0000YY5.1	h2n2	h1n1	94.4	498	28	0	23	1516	1	498	0.0	945
LOC_0000YZ3.1	h2n2	h1n1	94.4	498	28	0	27	1520	1	498	0.0	945
LOC_0000Z4T.1	h2n2	h1n1	94.4	498	28	0	18	1511	1	498	0.0	945
LOC_0000ZCB.1	h2n2	h1n1	94.4	498	28	0	27	1520	1	498	0.0	945
LOC_0000ZPN.1	h1n1	h1n1pdm	93.6	497	32	0	46	1536	1	497	0.0	933
LOC_0000ZUC.1	h2n2	h1n1	93.4	498	33	0	24	1517	1	498	0.0	940
LOC_000102U.1	h2n2	h1n1	94.2	498	29	0	24	1517	1	498	0.0	941
LOC_000106L.1	h2n2	h1n1	93.4	498	33	0	24	1517	1	498	0.0	940
LOC_000107J.1	h2n2	h1n1	94.2	498	29	0	24	1517	1	498	0.0	939
LOC_000108G.1	h2n2	h3n2	95.2	498	24	0	31	1524	1	498	0.0	950
LOC_000109E.1	h2n2	h1n1	93.2	498	34	0	24	1517	1	498	0.0	936
LOC_00010AC.1	h2n2	h1n1	94.0	498	30	0	24	1517	1	498	0.0	944
LOC_00010BA.1	h2n2	h1n1	93.4	498	33	0	10	1503	1	498	0.0	938
LOC_00010C8.1	h2n2	h3n2	95.0	498	25	0	23	1516	1	498	0.0	947
LOC_00010G0.1	h2n2	h3n2	95.8	498	21	0	26	1519	1	498	0.0	953
LOC_00010HX.1	h2n2	h3n2	95.2	498	24	0	32	1525	1	498	0.0	953
LOC_00010QH.1	h2n2	h1n1	93.4	498	33	0	24	1517	1	498	0.0	937
LOC_00010RF.1	h2n2	h1n1	95.4	498	23	0	22	1515	1	498	0.0	949
LOC_00010TB.1	h2n2	h1n1	95.4	498	23	0	24	1517	1	498	0.0	952
LOC_00011C7.1	h2n2	h1n1	93.4	498	33	0	22	1515	1	498	0.0	937
LOC_000121U.1	h2n2	h1n1	93.0	498	35	0	24	1517	1	498	0.0	936
LOC_000122S.1	h2n2	h1n1	93.0	498	35	0	24	1517	1	498	0.0	935
LOC_000123Q.1	h2n2	h1n1	93.0	498	35	0	22	1515	1	498	0.0	936
LOC_000124N.1	h2n2	h1n1	93.0	498	35	0	23	1516	1	498	0.0	936
LOC_00012GY.1	h2n2	h1n1	92.8	498	36	0	26	1519	1	498	0.0	935
LOC_00012JT.1	h2n2	h1n1	93.0	498	35	0	24	1517	1	498	0.0	935
