seqName	alignmentAssignedSegment	diamondAssignedSegment	total_length	weighted_identity_sum	n_hits	composite_score
LOC_00001RG.1	h2n2	h3n2	340	131964.0	2	388.1294117647059
LOC_00001V8.1	h2n2	h3n2	340	132216.0	2	388.8705882352941
LOC_00001W6.1	h2n2	h3n2	340	131964.0	2	388.1294117647059
LOC_000046J.1	h2n2	h3n2	313	121904.0	2	389.46964856230034
LOC_000047G.1	h2n2	h3n2	313	121904.0	2	389.46964856230034
LOC_000048E.1	h2n2	h3n2	329	127589.0	2	387.8085106382979
LOC_00004AA.1	h2n2	h3n2	313	121904.0	2	389.46964856230034
LOC_00004E2.1	h2n2	h3n2	243	57874.0	2	238.16460905349794
LOC_00004GY.1	h2n2	h3n2	250	59050.0	2	236.2
LOC_00004PH.1	h2n2	h3n2	240	53810.0	2	224.20833333333334
LOC_0000S9Q.1	h2n2	h3n2	347	135664.0	2	390.9625360230548
LOC_0000SAN.1	h2n2	h3n2	340	132216.0	2	388.8705882352941
LOC_0000SBL.1	h2n2	h3n2	340	132052.0	2	388.38823529411764
LOC_0000SDG.1	h2n2	h3n2	340	132216.0	2	388.8705882352941
LOC_0000SEE.1	h2n2	h3n2	347	136011.0	2	391.9625360230548
LOC_0000SK3.1	h2n2	h3n2	340	131876.0	2	387.8705882352941
LOC_0000SPV.1	h2n2	h3n2	340	132216.0	2	388.8705882352941
LOC_0000TXC.1	h2n2	h3n2	313	125413.0	2	400.6805111821086
LOC_0000U30.1	h2n2	h3n2	347	135916.0	2	391.68876080691643
LOC_0000U5W.1	h2n2	h3n2	347	136011.0	2	391.9625360230548
LOC_0000U6U.1	h2n2	h3n2	347	135631.0	2	390.86743515850145
LOC_0000UG8.1	h2n2	h3n2	347	136011.0	2	391.9625360230548
LOC_0000UZ7.1	h2n2	h3n2	340	132216.0	2	388.8705882352941
LOC_0000V05.1	h2n2	h3n2	347	134280.0	2	386.97406340057637
LOC_0000V5V.1	h2n2	h3n2	340	131964.0	2	388.1294117647059
LOC_0000V6T.1	h2n2	h3n2	340	131876.0	2	387.8705882352941
LOC_0000V9M.1	h2n2	h3n2	340	131876.0	2	387.8705882352941
LOC_0000VAK.1	h2n2	h3n2	340	131876.0	2	387.8705882352941
LOC_0000VBH.1	h2n2	h3n2	340	131876.0	2	387.8705882352941
LOC_0000VCF.1	h2n2	h3n2	340	131876.0	2	387.8705882352941
LOC_0000VDD.1	h2n2	h3n2	340	127088.0	2	373.78823529411767
LOC_0000VH4.1	h2n2	h3n2	347	133520.0	2	384.78386167146977
LOC_0000VJ2.1	h2n2	h3n2	347	134057.0	2	386.3314121037464
LOC_0000VK0.1	h2n2	h3n2	347	134280.0	2	386.97406340057637
LOC_0000VLY.1	h2n2	h3n2	347	134342.0	2	387.1527377521614
LOC_0000VMW.1	h2n2	h3n2	347	134090.0	2	386.42651296829973
LOC_0000VNU.1	h2n2	h3n2	340	131876.0	2	387.8705882352941
LOC_0000VPS.1	h2n2	h3n2	340	131876.0	2	387.8705882352941
LOC_0000W5U.1	h2n2	h3n2	347	133805.0	2	385.60518731988475
LOC_0000WPR.1	h1n1	h1n1pdm	347	130364.0	2	375.68876080691643
LOC_0000WZ5.1	h2n2	h3n2	347	133743.0	2	385.42651296829973
LOC_0000XPQ.1	h2n2	h3n2	340	131876.0	2	387.8705882352941
LOC_0000XSJ.1	h2n2	h3n2	340	131964.0	2	388.1294117647059
LOC_0000Y10.1	h2n2	h3n2	347	133330.0	2	384.23631123919307
LOC_0000Y4U.1	h2n2	h3n2	347	134342.0	2	387.1527377521614
LOC_0000Y5S.1	h2n2	h3n2	347	134342.0	2	387.1527377521614
LOC_0000YAG.1	h2n2	h3n2	347	134090.0	2	386.42651296829973
LOC_0000YJZ.1	h2n2	h3n2	347	134090.0	2	386.42651296829973
LOC_0000YW9.1	h1n1	h1n1pdm	340	128892.0	2	379.09411764705885
LOC_0000Z1Z.1	h2n2	h3n2	347	133805.0	2	385.60518731988475
LOC_0000ZAF.1	h2n2	h3n2	347	134280.0	2	386.97406340057637
LOC_0000ZCB.1	h2n2	h3n2	347	136895.0	2	394.5100864553314
LOC_0000ZE7.1	h2n2	h3n2	347	134057.0	2	386.3314121037464
LOC_0000ZF5.1	h2n2	h3n2	347	134784.0	2	388.42651296829973
LOC_0000ZH0.1	h2n2	h3n2	340	131876.0	2	387.8705882352941
LOC_0000ZJY.1	h2n2	h1n1	345	127914.0	2	370.76521739130436
