seqName	alignmentAssignedSegment	diamondAssignedSegment	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
LOC_0002F55.1	h1n1pdm	h3n2	79.5	44	9	0	113	244	13	56	1.21e-18	73.9
LOC_000321Q.1	h2n2	h3n2	98.0	757	15	0	10	2280	1	757	0.0	1477.0
LOC_00045XS.1	h3n2	h1n1pdm	100.0	103	0	0	3	311	655	757	8.599999999999999e-68	209.0
LOC_00046DU.1	h1n1	h2n2	93.7	757	48	0	8	2278	1	757	0.0	1429.0
LOC_0008355.1	h1n1	h1n1pdm	94.7	57	3	0	3	173	33	89	1.55e-35	117.0
LOC_0008363.1	h1n1	h1n1pdm	94.7	57	3	0	3	173	33	89	1.55e-35	117.0
LOC_0008KNN.1	h1n1pdm	h3n2	98.0	757	15	0	1	2271	1	757	0.0	1477.0
LOC_0008S3L.1	h1n1pdm	h3n2	98.0	757	15	0	1	2271	1	757	0.0	1476.0
LOC_000JBMB.1	h1n1pdm	h3n2	75.0	44	11	0	143	274	13	56	1.86e-18	73.6
LOC_000JBTZ.1	h1n1pdm	h3n2	75.0	44	11	0	143	274	13	56	1.88e-18	73.6
LOC_000JC91.1	h1n1pdm	h3n2	75.0	44	11	0	143	274	13	56	1.86e-18	73.6
LOC_000LYYY.1	h1n1	h2n2	97.4	757	20	0	25	2295	1	757	0.0	1476.0
LOC_000R5WK.1	h1n1	h2n2	98.0	757	15	0	1	2271	1	757	0.0	1473.0
LOC_000SC7P.1	h1n1pdm	h3n2	75.0	44	11	0	131	262	13	56	3.44e-18	72.8
LOC_000ULA5.1	h3n2	h1n1pdm	97.1	757	22	0	13	2283	1	757	0.0	1472.0
LOC_000ZL2B.1	h1n1pdm	h3n2	57.8	45	19	0	66	200	13	57	6.57e-11	52.0
LOC_000ZLCR.1	h1n1pdm	h3n2	72.7	44	12	0	131	262	13	56	3.05e-17	70.1
LOC_000ZNM4.1	h1n1pdm	h3n2	77.3	44	10	0	131	262	13	56	1.84e-18	73.6
LOC_000ZQHA.1	h1n1pdm	h3n2	75.0	44	11	0	28	159	13	56	3.28e-18	72.8
LOC_000ZS5Z.1	h1n1pdm	h3n2	75.0	44	11	0	131	262	13	56	1.84e-18	73.6
